3, Female, Maharashtra, 6635177378, 161.86 cm, 68.09 kg
17, Male, Sikkim, 9683243518, 155.9 cm, 76.44 kg
53, Female, Haryana, 8478562116, 133.72 cm, 73.6 kg
63, Female, Nagaland, 9216834278, 174.49 cm, 70.84 kg
68, Female, Uttar Pradesh, 9488478414, 174.31 cm, 68.68 kg
93, Male, Gujarat, 9463414651, 161.12 cm, 72.24 kg
55, Female, Manipur, 6332117127, 162.55 cm, 71.19 kg
54, Male, Haryana, 8468116656, 166.72 cm, 63.76 kg
1, Female, Uttarakhand, 6422231725, 170.95 cm, 67.96 kg
68, Female, Odisha, 7113217776, 159.86 cm, 61.63 kg
98, Male, Arunachal Pradesh, 8745353652, 153.17 cm, 72.66 kg
8, Male, Bihar, 8118778767, 147.07 cm, 74.82 kg
43, Male, Mizoram, 9651876152, 151.87 cm, 70.9 kg
47, Female, Tripura, 7445426512, 162.09 cm, 68.59 kg
16, Female, Mizoram, 6826551433, 156.92 cm, 70.89 kg
1, Female, Arunachal Pradesh, 6386521356, 174.03 cm, 76.28 kg
89, Female, Chhattisgarh, 7267274663, 176.06 cm, 65.56 kg
60, Female, Himachal Pradesh, 8342381271, 169.71 cm, 75.64 kg
10, Male, Uttar Pradesh, 7843318276, 176.31 cm, 61.68 kg
66, Male, Rajasthan, 8534521152, 149.54 cm, 76.01 kg
71, Male, Uttarakhand, 8846882764, 160.53 cm, 77.3 kg
49, Male, Rajasthan, 8638364753, 154.37 cm, 76.82 kg
85, Female, Odisha, 7842383441, 171.63 cm, 67.18 kg
17, Male, Haryana, 8178481584, 167.32 cm, 67.66 kg
24, Male, Tamil Nadu, 8224542267, 179.92 cm, 75.62 kg
37, Male, West Bengal, 7846244256, 165.09 cm, 63.33 kg
44, Female, West Bengal, 6463353256, 159.95 cm, 66.4 kg
62, Female, Goa, 9363445657, 177.28 cm, 65.66 kg
20, Male, Arunachal Pradesh, 8624726325, 142.74 cm, 70.62 kg
93, Female, Gujarat, 7212672568, 160.0 cm, 66.58 kg
93, Male, Odisha, 6453354287, 168.54 cm, 73.16 kg
4, Female, Punjab, 6664866454, 174.83 cm, 75.13 kg
51, Male, Maharashtra, 6774423572, 157.47 cm, 71.76 kg
70, Male, Nagaland, 8144722211, 152.19 cm, 72.4 kg
70, Female, Rajasthan, 7373753755, 160.6 cm, 69.08 kg
56, Female, Rajasthan, 9466652217, 165.87 cm, 64.65 kg
30, Male, Kerala, 9387271751, 165.47 cm, 70.73 kg
58, Male, Sikkim, 6167255811, 152.96 cm, 74.05 kg
47, Male, Uttar Pradesh, 9785285188, 173.75 cm, 72.2 kg
15, Female, Tamil Nadu, 9484184214, 161.65 cm, 71.59 kg
2, Female, Gujarat, 8677423627, 170.02 cm, 67.56 kg
90, Male, Telangana, 7224475464, 162.08 cm, 70.43 kg
76, Female, Maharashtra, 8468884547, 136.63 cm, 63.55 kg
80, Female, Manipur, 7341478525, 167.51 cm, 71.69 kg
20, Female, Goa, 7753637574, 194.83 cm, 70.92 kg
35, Male, Haryana, 6615366562, 157.34 cm, 72.93 kg
49, Female, Tamil Nadu, 8513886118, 159.39 cm, 72.13 kg
20, Male, Himachal Pradesh, 9318583747, 145.99 cm, 74.97 kg
89, Female, Madhya Pradesh, 9775348285, 161.03 cm, 67.04 kg
45, Male, Bihar, 6778255153, 156.02 cm, 76.02 kg
34, Female, Karnataka, 6718387712, 173.15 cm, 78.48 kg
2, Male, Andhra Pradesh, 7134777257, 163.09 cm, 65.43 kg
6, Female, Bihar, 8584886327, 182.29 cm, 72.36 kg
24, Female, West Bengal, 9871712811, 138.31 cm, 56.91 kg
21, Male, Bihar, 8667578486, 156.54 cm, 64.34 kg
55, Female, Mizoram, 6871454764, 175.98 cm, 75.25 kg
81, Male, Punjab, 9377675363, 156.58 cm, 69.04 kg
83, Male, Andhra Pradesh, 6118528328, 152.42 cm, 72.53 kg
6, Male, Punjab, 6538843754, 152.22 cm, 64.54 kg
11, Male, Tripura, 6282757631, 151.49 cm, 68.48 kg
44, Female, Meghalaya, 9314327186, 161.56 cm, 76.18 kg
40, Female, Punjab, 9235257161, 165.22 cm, 72.4 kg
23, Female, Nagaland, 8361144236, 165.47 cm, 61.34 kg
96, Male, Manipur, 9384365663, 168.05 cm, 65.27 kg
36, Male, Arunachal Pradesh, 9478724351, 159.46 cm, 73.38 kg
91, Male, Tamil Nadu, 9373288561, 155.07 cm, 68.91 kg
42, Male, Madhya Pradesh, 7263768413, 164.23 cm, 72.49 kg
46, Male, Chhattisgarh, 6471457175, 167.49 cm, 66.98 kg
10, Male, Andhra Pradesh, 7783886422, 157.99 cm, 73.49 kg
33, Male, West Bengal, 8432243556, 159.36 cm, 71.99 kg
44, Female, Sikkim, 8217166778, 136.47 cm, 71.91 kg
94, Male, Tamil Nadu, 8646128522, 141.05 cm, 72.3 kg
59, Male, Telangana, 9654623664, 165.07 cm, 77.92 kg
96, Female, Punjab, 8115644256, 165.61 cm, 68.32 kg
28, Male, Gujarat, 7142146625, 152.49 cm, 72.38 kg
23, Female, Himachal Pradesh, 9838167268, 139.8 cm, 65.79 kg
67, Male, Kerala, 9566466436, 156.85 cm, 65.75 kg
58, Male, West Bengal, 9133157338, 152.01 cm, 74.12 kg
76, Male, Karnataka, 9875432573, 154.7 cm, 68.6 kg
6, Female, Arunachal Pradesh, 9161828611, 168.28 cm, 85.25 kg
31, Female, Goa, 7223522553, 141.33 cm, 63.18 kg
63, Female, Telangana, 9785834326, 169.11 cm, 66.65 kg
13, Female, Arunachal Pradesh, 7775553868, 161.27 cm, 67.83 kg
83, Male, Tripura, 8775336245, 167.2 cm, 69.09 kg
70, Male, West Bengal, 9654826871, 173.85 cm, 62.52 kg
49, Male, Bihar, 7122638713, 149.39 cm, 67.65 kg
14, Female, Karnataka, 6266685651, 164.64 cm, 77.22 kg
4, Female, Uttar Pradesh, 7886163132, 175.87 cm, 71.32 kg
78, Male, Madhya Pradesh, 9337831184, 141.99 cm, 72.35 kg
63, Male, West Bengal, 9671211782, 173.46 cm, 70.25 kg
31, Male, West Bengal, 8464246841, 170.86 cm, 66.67 kg
47, Female, Gujarat, 9414533647, 156.43 cm, 71.24 kg
66, Male, Tamil Nadu, 9732758114, 160.15 cm, 65.13 kg
44, Male, Jharkhand, 9465234761, 179.22 cm, 73.92 kg
91, Female, Tamil Nadu, 6143488862, 154.21 cm, 69.94 kg
43, Female, Andhra Pradesh, 8325811225, 151.12 cm, 62.01 kg
3, Female, Kerala, 8558725247, 143.63 cm, 67.23 kg
2, Male, Sikkim, 7135517546, 147.39 cm, 69.27 kg
37, Female, Tripura, 8827474741, 145.39 cm, 78.17 kg
51, Female, Madhya Pradesh, 7537118415, 172.05 cm, 73.86 kg
19, Female, Goa, 8582875275, 157.84 cm, 63.83 kg
26, Male, Karnataka, 9524165478, 150.33 cm, 68.11 kg
71, Male, Meghalaya, 7874732655, 160.54 cm, 70.15 kg
12, Male, Jharkhand, 8437276767, 172.41 cm, 66.0 kg
46, Female, West Bengal, 9761235137, 170.52 cm, 71.33 kg
22, Female, West Bengal, 7448474872, 175.3 cm, 68.1 kg
97, Male, Tamil Nadu, 6412765486, 153.54 cm, 80.52 kg
64, Female, Punjab, 8884123477, 159.83 cm, 78.27 kg
23, Male, Tamil Nadu, 9715252317, 154.73 cm, 70.47 kg
58, Male, Bihar, 9461237748, 158.06 cm, 67.72 kg
49, Male, Karnataka, 6555773188, 156.76 cm, 71.03 kg
4, Female, Kerala, 7326472748, 153.53 cm, 66.58 kg
16, Female, Punjab, 9632864672, 173.44 cm, 62.42 kg
34, Male, Assam, 6787855452, 156.92 cm, 77.32 kg
15, Male, Uttar Pradesh, 8626641565, 147.27 cm, 65.34 kg
26, Male, Tripura, 8424511283, 157.42 cm, 70.19 kg
46, Female, Punjab, 7233155852, 158.73 cm, 68.43 kg
91, Female, Assam, 6773157264, 162.93 cm, 53.95 kg
8, Female, Manipur, 8527828844, 154.48 cm, 66.62 kg
20, Female, Tamil Nadu, 8346646442, 161.84 cm, 80.92 kg
11, Female, Himachal Pradesh, 7126574768, 178.03 cm, 68.31 kg
12, Female, Karnataka, 9166425664, 171.2 cm, 70.71 kg
49, Female, Bihar, 8835422746, 162.36 cm, 74.6 kg
36, Male, Haryana, 7234513188, 171.39 cm, 70.12 kg
97, Male, Uttar Pradesh, 6886316611, 172.79 cm, 65.29 kg
42, Female, Tripura, 7686457722, 154.86 cm, 62.48 kg
25, Male, Gujarat, 6266273112, 159.77 cm, 66.08 kg
26, Female, Telangana, 8487222183, 156.44 cm, 73.06 kg
44, Male, Nagaland, 7113865473, 160.38 cm, 70.17 kg
21, Female, Tamil Nadu, 6577584184, 147.67 cm, 68.24 kg
70, Female, Bihar, 7115127131, 164.72 cm, 65.11 kg
67, Male, Andhra Pradesh, 7431874435, 172.39 cm, 70.81 kg
71, Male, Tripura, 9733815333, 152.84 cm, 68.59 kg
80, Male, Telangana, 9748686584, 144.84 cm, 61.29 kg
35, Male, Tripura, 9563483764, 147.73 cm, 72.17 kg
23, Male, Mizoram, 6157256536, 154.49 cm, 66.73 kg
11, Male, Mizoram, 7724778464, 149.75 cm, 61.03 kg
16, Female, Nagaland, 7643313423, 170.82 cm, 70.54 kg
94, Male, Karnataka, 8262864641, 152.96 cm, 69.61 kg
43, Female, Himachal Pradesh, 9221461282, 154.01 cm, 74.56 kg
30, Male, Manipur, 8881224654, 159.9 cm, 71.23 kg
8, Female, Madhya Pradesh, 9788441463, 165.0 cm, 70.67 kg
22, Male, Haryana, 6248668772, 174.78 cm, 63.61 kg
73, Male, Goa, 8168858532, 148.89 cm, 64.12 kg
79, Female, Karnataka, 9284726853, 168.28 cm, 61.28 kg
82, Female, Uttar Pradesh, 7253516568, 169.12 cm, 69.17 kg
77, Female, Andhra Pradesh, 9328115577, 150.5 cm, 72.21 kg
20, Male, Nagaland, 9265223253, 163.5 cm, 68.23 kg
71, Female, Kerala, 8273268173, 159.8 cm, 77.96 kg
80, Female, Jharkhand, 8646314414, 158.5 cm, 66.88 kg
98, Female, Uttar Pradesh, 6157776417, 161.24 cm, 71.42 kg
96, Male, Manipur, 7528726821, 172.38 cm, 66.69 kg
14, Female, Arunachal Pradesh, 6787748521, 157.57 cm, 66.48 kg
7, Male, Uttar Pradesh, 7866514571, 155.35 cm, 68.67 kg
28, Female, Kerala, 9258467415, 167.97 cm, 68.85 kg
93, Female, Uttar Pradesh, 9414473314, 157.51 cm, 72.62 kg
67, Female, Uttar Pradesh, 6261451542, 164.22 cm, 68.87 kg
80, Female, Uttarakhand, 6887776585, 156.74 cm, 78.31 kg
71, Male, Chhattisgarh, 7628771332, 163.36 cm, 67.28 kg
83, Male, Himachal Pradesh, 6687812744, 142.28 cm, 65.38 kg
87, Female, Uttarakhand, 9822755366, 174.55 cm, 66.11 kg
89, Male, Odisha, 7342277646, 145.64 cm, 77.34 kg
99, Male, Maharashtra, 9321166433, 161.99 cm, 70.69 kg
24, Female, Kerala, 9211613617, 158.87 cm, 72.34 kg
50, Female, Goa, 6275515456, 150.5 cm, 72.51 kg
92, Female, West Bengal, 9645116682, 139.9 cm, 70.63 kg
19, Male, Arunachal Pradesh, 6611776724, 166.47 cm, 78.22 kg
81, Male, Sikkim, 8381157684, 161.26 cm, 68.46 kg
21, Male, Maharashtra, 9643714726, 146.91 cm, 65.56 kg
31, Female, Punjab, 9677124268, 154.04 cm, 63.86 kg
7, Female, Maharashtra, 6371142568, 154.63 cm, 65.27 kg
32, Female, Jharkhand, 7731274878, 145.4 cm, 64.81 kg
92, Male, Gujarat, 8255553665, 162.39 cm, 72.9 kg
5, Female, Jharkhand, 7232628643, 172.09 cm, 74.15 kg
19, Female, Telangana, 6687474423, 167.8 cm, 61.54 kg
34, Male, Andhra Pradesh, 6611772766, 151.29 cm, 66.62 kg
56, Female, Chhattisgarh, 6648374543, 163.47 cm, 81.58 kg
85, Male, Assam, 9167432482, 158.27 cm, 79.68 kg
59, Female, West Bengal, 9224431443, 154.43 cm, 77.0 kg
21, Female, West Bengal, 8476635737, 165.52 cm, 59.09 kg
36, Male, Telangana, 9876376512, 160.57 cm, 71.46 kg
6, Male, Himachal Pradesh, 9276678851, 160.25 cm, 78.56 kg
14, Female, Jharkhand, 9841211625, 172.61 cm, 63.58 kg
47, Male, Nagaland, 9658187586, 152.62 cm, 74.45 kg
31, Male, Uttarakhand, 6444811268, 160.86 cm, 76.65 kg
16, Female, Uttarakhand, 7537764585, 163.5 cm, 68.97 kg
6, Female, Kerala, 8117827653, 166.81 cm, 68.3 kg
84, Female, Uttarakhand, 7255378314, 165.71 cm, 68.2 kg
6, Male, Nagaland, 8817757461, 158.38 cm, 73.33 kg
78, Female, Tripura, 6533668715, 161.48 cm, 81.5 kg
23, Female, Bihar, 8343374514, 157.66 cm, 57.22 kg
92, Male, Bihar, 8326687788, 143.78 cm, 71.86 kg
61, Male, Assam, 8537416866, 180.88 cm, 69.05 kg
32, Male, Telangana, 6732826554, 143.01 cm, 74.99 kg
74, Female, Madhya Pradesh, 8424283281, 159.52 cm, 74.02 kg
33, Female, Uttar Pradesh, 9861868738, 161.59 cm, 74.33 kg
76, Female, Sikkim, 8631316716, 159.89 cm, 73.08 kg
71, Female, Karnataka, 9855223348, 165.24 cm, 68.24 kg
74, Male, Himachal Pradesh, 6447383666, 156.91 cm, 76.55 kg
61, Male, Kerala, 7642227781, 162.26 cm, 61.44 kg
20, Female, Manipur, 9655845553, 137.33 cm, 71.28 kg
31, Male, Manipur, 7884872582, 171.68 cm, 74.16 kg
88, Male, Odisha, 7233537113, 139.52 cm, 77.3 kg
68, Male, Gujarat, 9851467544, 158.17 cm, 68.16 kg
39, Male, Uttar Pradesh, 6674178511, 159.39 cm, 69.5 kg
33, Male, Uttar Pradesh, 8541427261, 150.53 cm, 73.34 kg
52, Male, Chhattisgarh, 6461883374, 174.6 cm, 68.5 kg
19, Male, Himachal Pradesh, 9722171361, 157.17 cm, 74.1 kg
12, Female, Andhra Pradesh, 8712383437, 161.6 cm, 68.37 kg
87, Female, Gujarat, 8323817218, 177.1 cm, 62.48 kg
44, Male, Tripura, 7215756312, 164.46 cm, 65.42 kg
75, Male, Andhra Pradesh, 7637241668, 163.82 cm, 83.99 kg
54, Female, Rajasthan, 9128733545, 134.37 cm, 70.08 kg
5, Female, Nagaland, 8232577622, 147.1 cm, 61.17 kg
40, Female, Uttarakhand, 9214742267, 142.51 cm, 63.74 kg
73, Male, Jharkhand, 9428262584, 152.54 cm, 66.82 kg
55, Female, Chhattisgarh, 6718713465, 175.68 cm, 72.71 kg
8, Male, Nagaland, 9453466847, 150.43 cm, 69.94 kg
86, Female, Chhattisgarh, 9235584476, 152.81 cm, 73.07 kg
8, Female, Bihar, 7641547266, 175.83 cm, 79.03 kg
63, Male, Uttarakhand, 6118867786, 169.34 cm, 73.02 kg
37, Male, Telangana, 7484682246, 160.4 cm, 71.26 kg
43, Male, Meghalaya, 6474444664, 167.04 cm, 62.71 kg
69, Male, Meghalaya, 7378165236, 157.81 cm, 71.57 kg
52, Female, Haryana, 7844461716, 166.89 cm, 64.61 kg
7, Male, Bihar, 9535221853, 158.23 cm, 68.04 kg
28, Male, Tamil Nadu, 9553247764, 178.3 cm, 72.44 kg
78, Male, Haryana, 6225856223, 153.42 cm, 67.15 kg
64, Male, Madhya Pradesh, 7773555858, 165.65 cm, 71.55 kg
61, Female, Maharashtra, 6383714824, 167.97 cm, 62.63 kg
46, Female, Tripura, 7414828118, 158.88 cm, 58.92 kg
33, Female, Punjab, 9264714676, 162.4 cm, 67.73 kg
55, Male, Meghalaya, 7532363515, 158.0 cm, 77.7 kg
15, Female, Chhattisgarh, 9527118173, 173.91 cm, 68.06 kg
5, Female, Chhattisgarh, 9374567564, 169.39 cm, 66.83 kg
95, Female, Goa, 9574375128, 148.69 cm, 66.39 kg
6, Female, Chhattisgarh, 9873318843, 165.56 cm, 71.05 kg
67, Male, Madhya Pradesh, 7834872548, 167.23 cm, 76.28 kg
68, Female, Uttar Pradesh, 7828432243, 144.9 cm, 76.27 kg
65, Male, Mizoram, 7718212112, 152.45 cm, 75.55 kg
35, Female, Nagaland, 8434384375, 158.17 cm, 71.84 kg
35, Female, Kerala, 6213486551, 169.26 cm, 76.09 kg
38, Male, Meghalaya, 7322572715, 169.8 cm, 66.19 kg
6, Female, Chhattisgarh, 8665746643, 155.0 cm, 64.36 kg
65, Male, Andhra Pradesh, 7458356864, 163.48 cm, 72.69 kg
8, Male, Andhra Pradesh, 8714157576, 140.98 cm, 64.86 kg
65, Female, Maharashtra, 7352757523, 168.89 cm, 70.06 kg
89, Male, Madhya Pradesh, 8138337547, 149.91 cm, 67.9 kg
22, Female, Arunachal Pradesh, 6322747235, 155.59 cm, 76.99 kg
97, Male, Nagaland, 7224614141, 151.12 cm, 62.05 kg
10, Male, Haryana, 6761388631, 153.42 cm, 70.21 kg
85, Female, Madhya Pradesh, 9622721681, 176.65 cm, 65.0 kg
94, Male, Punjab, 6843588812, 142.46 cm, 70.32 kg
40, Male, Rajasthan, 9372542662, 158.66 cm, 67.25 kg
82, Male, Manipur, 8227252441, 174.56 cm, 67.12 kg
68, Female, Uttarakhand, 7235682816, 155.6 cm, 76.67 kg
31, Male, Kerala, 9445725368, 167.29 cm, 73.11 kg
90, Male, Mizoram, 9817232446, 159.66 cm, 69.87 kg
48, Male, Tamil Nadu, 8744828432, 161.42 cm, 71.57 kg
71, Male, Haryana, 6681552148, 165.41 cm, 65.07 kg
2, Male, Arunachal Pradesh, 8515178222, 165.7 cm, 64.1 kg
1, Male, West Bengal, 9161476873, 165.37 cm, 69.19 kg
91, Female, Madhya Pradesh, 8637671464, 162.29 cm, 66.88 kg
82, Female, Assam, 8148588313, 165.86 cm, 82.55 kg
78, Male, Gujarat, 9448225474, 166.82 cm, 73.58 kg
35, Female, Sikkim, 8452145688, 155.74 cm, 76.0 kg
42, Male, Gujarat, 7874851756, 178.02 cm, 72.81 kg
84, Male, Odisha, 8187516572, 160.65 cm, 75.65 kg
85, Female, Kerala, 9765444315, 156.98 cm, 71.88 kg
99, Male, Haryana, 9871315557, 154.33 cm, 74.4 kg
35, Female, Haryana, 7481136676, 152.61 cm, 59.49 kg
96, Male, Madhya Pradesh, 6234513321, 182.18 cm, 69.46 kg
53, Female, Manipur, 9247858423, 156.78 cm, 59.42 kg
75, Female, Maharashtra, 9144713388, 137.87 cm, 70.65 kg
20, Male, Uttar Pradesh, 8761175143, 143.9 cm, 67.98 kg
60, Female, Odisha, 9356426452, 138.18 cm, 75.16 kg
93, Male, Andhra Pradesh, 7836775543, 181.59 cm, 73.38 kg
19, Male, Telangana, 6633582775, 168.77 cm, 69.26 kg
44, Male, Himachal Pradesh, 7653152565, 157.09 cm, 65.94 kg
42, Female, Meghalaya, 6577752873, 153.39 cm, 73.6 kg
4, Female, Gujarat, 6364827565, 161.66 cm, 76.79 kg
79, Male, Kerala, 7668743121, 175.23 cm, 77.46 kg
60, Male, Andhra Pradesh, 6321455586, 160.84 cm, 70.98 kg
75, Male, Uttarakhand, 9572283581, 155.08 cm, 69.95 kg
89, Female, Madhya Pradesh, 7755135755, 169.45 cm, 67.33 kg
27, Female, Madhya Pradesh, 9776666686, 165.65 cm, 69.69 kg
52, Female, Odisha, 8176377431, 162.13 cm, 72.23 kg
54, Female, Andhra Pradesh, 7315858421, 149.03 cm, 70.73 kg
80, Male, Meghalaya, 7115153522, 142.88 cm, 58.13 kg
43, Female, Andhra Pradesh, 8613466843, 157.19 cm, 73.62 kg
55, Female, Chhattisgarh, 8612484367, 156.4 cm, 69.18 kg
61, Male, Rajasthan, 7663313713, 161.68 cm, 66.85 kg
80, Female, Assam, 8512213148, 155.17 cm, 67.81 kg
29, Female, Mizoram, 6745267312, 143.67 cm, 65.07 kg
37, Female, Odisha, 8642751366, 167.66 cm, 70.84 kg
79, Female, Assam, 9823277613, 158.89 cm, 67.18 kg
33, Male, Nagaland, 7244188618, 152.07 cm, 73.25 kg
78, Male, Tamil Nadu, 7652364154, 177.52 cm, 70.97 kg
40, Female, Chhattisgarh, 8164312447, 153.3 cm, 70.4 kg
76, Male, Andhra Pradesh, 6676342112, 153.96 cm, 68.79 kg
3, Male, Odisha, 8247167354, 154.97 cm, 56.46 kg
77, Female, Sikkim, 7668446676, 164.35 cm, 66.88 kg
86, Female, Meghalaya, 7632416442, 143.96 cm, 70.96 kg
27, Male, Uttarakhand, 6543878181, 161.72 cm, 72.05 kg
91, Male, Madhya Pradesh, 7282734457, 165.44 cm, 65.28 kg
71, Female, Gujarat, 9534278788, 151.0 cm, 66.96 kg
12, Male, Jharkhand, 6774273862, 159.85 cm, 70.82 kg
5, Male, Rajasthan, 6148882763, 166.94 cm, 62.99 kg
79, Male, Maharashtra, 7723135828, 151.88 cm, 67.33 kg
77, Male, Karnataka, 8522375228, 158.11 cm, 65.33 kg
15, Male, Uttar Pradesh, 6432218683, 196.04 cm, 66.33 kg
58, Female, Jharkhand, 6813616128, 151.01 cm, 66.5 kg
9, Male, Nagaland, 9253554627, 151.69 cm, 71.28 kg
24, Male, Nagaland, 7323155846, 158.49 cm, 65.63 kg
50, Female, Punjab, 7256622321, 161.35 cm, 69.37 kg
11, Female, Andhra Pradesh, 8787522711, 161.36 cm, 67.44 kg
74, Male, Himachal Pradesh, 8172143238, 156.98 cm, 76.61 kg
63, Male, Bihar, 9172487586, 163.28 cm, 66.82 kg
36, Female, Mizoram, 6262137518, 159.57 cm, 62.25 kg
2, Female, Telangana, 8456736873, 157.64 cm, 62.28 kg
39, Female, Arunachal Pradesh, 8678247285, 162.06 cm, 68.32 kg
84, Female, Chhattisgarh, 9771331351, 163.51 cm, 79.52 kg
36, Male, Goa, 7734618275, 160.21 cm, 69.22 kg
65, Male, Tamil Nadu, 8117125278, 161.3 cm, 75.05 kg
92, Male, Sikkim, 7165185222, 141.8 cm, 68.54 kg
82, Male, Uttarakhand, 9425537386, 147.58 cm, 69.65 kg
63, Female, Uttarakhand, 8346376173, 162.9 cm, 71.75 kg
72, Female, Uttarakhand, 9865164368, 169.99 cm, 68.83 kg
22, Male, Himachal Pradesh, 9478463361, 177.77 cm, 64.04 kg
36, Female, Madhya Pradesh, 6442228512, 162.86 cm, 66.06 kg
67, Female, Bihar, 6542188348, 157.23 cm, 73.8 kg
5, Female, Jharkhand, 9278756845, 175.56 cm, 63.47 kg
29, Female, Karnataka, 8447175232, 170.58 cm, 69.18 kg
64, Female, Rajasthan, 8815476874, 158.53 cm, 65.47 kg
20, Male, Goa, 6333213771, 156.53 cm, 75.16 kg
36, Male, Odisha, 8652687536, 165.09 cm, 72.31 kg
69, Female, Chhattisgarh, 9217884487, 162.31 cm, 73.94 kg
98, Female, West Bengal, 7666468141, 144.77 cm, 68.63 kg
47, Female, Karnataka, 9741216857, 146.2 cm, 65.35 kg
96, Female, Odisha, 7135724632, 149.0 cm, 72.4 kg
71, Male, Rajasthan, 9681831438, 156.42 cm, 73.38 kg
12, Male, Telangana, 8473542536, 150.24 cm, 74.44 kg
2, Male, Telangana, 9748762153, 169.24 cm, 72.78 kg
60, Male, Tamil Nadu, 8254836718, 155.92 cm, 72.8 kg
34, Female, Rajasthan, 7567777451, 149.59 cm, 69.7 kg
2, Male, Arunachal Pradesh, 8431836755, 172.28 cm, 65.48 kg
98, Male, Madhya Pradesh, 7343642231, 156.64 cm, 61.96 kg
31, Female, Uttar Pradesh, 9274754445, 173.05 cm, 66.56 kg
99, Female, Kerala, 7713184542, 165.35 cm, 71.83 kg
13, Female, West Bengal, 7888613545, 153.69 cm, 67.61 kg
74, Male, Chhattisgarh, 9665673422, 161.7 cm, 71.61 kg
33, Male, Punjab, 8413573288, 161.72 cm, 66.28 kg
23, Female, Odisha, 8622418873, 162.59 cm, 77.73 kg
4, Female, Meghalaya, 8365245384, 171.48 cm, 72.12 kg
13, Female, Tamil Nadu, 9343668744, 154.19 cm, 72.18 kg
11, Male, Tripura, 6534435482, 171.84 cm, 71.17 kg
50, Female, Sikkim, 7517131548, 157.34 cm, 76.23 kg
62, Female, Kerala, 8125812373, 160.79 cm, 78.84 kg
31, Female, Bihar, 7211552746, 145.56 cm, 73.25 kg
55, Female, Andhra Pradesh, 7788563541, 157.57 cm, 73.92 kg
71, Male, Arunachal Pradesh, 7132287128, 140.42 cm, 73.92 kg
90, Female, Andhra Pradesh, 7551125645, 157.37 cm, 68.66 kg
74, Female, Meghalaya, 6754617273, 173.62 cm, 75.86 kg
61, Female, Himachal Pradesh, 7347638558, 166.29 cm, 76.18 kg
93, Male, Gujarat, 9828675248, 150.33 cm, 73.57 kg
1, Female, Madhya Pradesh, 7811128386, 155.58 cm, 68.26 kg
29, Female, Haryana, 7667314261, 140.19 cm, 67.33 kg
40, Female, Uttar Pradesh, 7171172331, 166.19 cm, 61.7 kg
10, Male, Uttar Pradesh, 6628653261, 184.58 cm, 65.18 kg
27, Female, Odisha, 6835741616, 158.96 cm, 73.08 kg
92, Male, Chhattisgarh, 7463114535, 160.1 cm, 71.09 kg
18, Male, Arunachal Pradesh, 9566838136, 154.59 cm, 62.68 kg
93, Female, Punjab, 8817374266, 170.65 cm, 76.16 kg
32, Male, Himachal Pradesh, 9432752826, 182.96 cm, 59.9 kg
20, Female, Assam, 6844121327, 170.14 cm, 77.57 kg
50, Male, Nagaland, 8784127472, 172.82 cm, 60.92 kg
68, Female, Gujarat, 8822261154, 154.31 cm, 69.1 kg
30, Male, Mizoram, 9468265471, 171.8 cm, 70.76 kg
38, Male, Manipur, 8228315841, 145.03 cm, 70.43 kg
77, Female, Arunachal Pradesh, 8672523572, 157.47 cm, 72.88 kg
80, Female, Karnataka, 6234417731, 148.27 cm, 63.54 kg
56, Male, Uttarakhand, 6265428451, 166.28 cm, 69.46 kg
70, Male, Andhra Pradesh, 8644151366, 152.67 cm, 69.47 kg
89, Female, Uttar Pradesh, 6652636585, 161.09 cm, 65.18 kg
90, Male, Chhattisgarh, 6712257236, 151.29 cm, 69.4 kg
47, Male, Haryana, 6551585632, 149.07 cm, 73.55 kg
51, Male, Sikkim, 6278473888, 171.07 cm, 72.08 kg
92, Male, Madhya Pradesh, 7353665317, 173.03 cm, 66.18 kg
78, Female, Uttar Pradesh, 9183215618, 149.25 cm, 72.23 kg
13, Female, Haryana, 9788418621, 144.06 cm, 66.64 kg
52, Female, Andhra Pradesh, 9584445363, 141.0 cm, 71.0 kg
27, Female, Tripura, 7778388114, 167.5 cm, 71.14 kg
46, Female, Jharkhand, 6224743142, 178.29 cm, 64.65 kg
72, Male, Uttarakhand, 6551664735, 158.66 cm, 63.5 kg
95, Male, Meghalaya, 6833157317, 158.62 cm, 60.3 kg
23, Female, Chhattisgarh, 9477657628, 162.51 cm, 68.94 kg
61, Male, Arunachal Pradesh, 7463271243, 178.67 cm, 62.28 kg
94, Female, Haryana, 7617335655, 147.48 cm, 67.99 kg
40, Male, Tamil Nadu, 6262326628, 160.12 cm, 70.29 kg
45, Female, Assam, 8187262685, 153.17 cm, 71.17 kg
23, Female, Uttar Pradesh, 6266217643, 160.89 cm, 61.92 kg
11, Female, Telangana, 9476557855, 154.22 cm, 73.28 kg
34, Female, Haryana, 9353421563, 177.01 cm, 61.17 kg
88, Male, Tripura, 8757552148, 162.42 cm, 69.09 kg
78, Male, Haryana, 7482187455, 166.01 cm, 66.67 kg
17, Female, Andhra Pradesh, 6154755783, 148.42 cm, 72.45 kg
2, Male, Punjab, 8485426864, 148.03 cm, 72.6 kg
94, Female, Maharashtra, 6627877681, 167.14 cm, 70.48 kg
81, Male, Bihar, 9252112334, 151.15 cm, 66.01 kg
46, Female, Nagaland, 8838233241, 158.66 cm, 63.84 kg
88, Male, Tamil Nadu, 7474514214, 175.33 cm, 67.26 kg
